sample,total_count,population,count,percentage
sample02573,102386,b_cell,11414,11.148
sample02573,102386,cd4_t_cell,28499,27.835
sample02573,102386,cd8_t_cell,22699,22.17
sample02573,102386,monocyte,22703,22.174
sample02573,102386,nk_cell,17071,16.673
sample02574,91843,b_cell,4812,5.239
sample02574,91843,cd4_t_cell,34048,37.072
sample02574,91843,cd8_t_cell,21622,23.542
sample02574,91843,monocyte,17587,19.149
sample02574,91843,nk_cell,13774,14.997
sample02575,99095,b_cell,10446,10.541
sample02575,99095,cd4_t_cell,30735,31.016
sample02575,99095,cd8_t_cell,25633,25.867
sample02575,99095,monocyte,17297,17.455
sample02575,99095,nk_cell,14984,15.121
sample02576,112012,b_cell,14823,13.233
sample02576,112012,cd4_t_cell,26497,23.656
sample02576,112012,cd8_t_cell,31440,28.068
sample02576,112012,monocyte,17618,15.729
sample02576,112012,nk_cell,21634,19.314
sample02577,117553,b_cell,7991,6.798
sample02577,117553,cd4_t_cell,40930,34.818
sample02577,117553,cd8_t_cell,32065,27.277
sample02577,117553,monocyte,22551,19.184
sample02577,117553,nk_cell,14016,11.923
sample02578,92368,b_cell,10364,11.22
sample02578,92368,cd4_t_cell,23008,24.909
sample02578,92368,cd8_t_cell,20435,22.123
sample02578,92368,monocyte,27596,29.876
sample02578,92368,nk_cell,10965,11.871
sample02579,110829,b_cell,7904,7.132
sample02579,110829,cd4_t_cell,33694,30.402
sample02579,110829,cd8_t_cell,28081,25.337
sample02579,110829,monocyte,26180,23.622
sample02579,110829,nk_cell,14970,13.507
sample02580,106494,b_cell,17166,16.119
sample02580,106494,cd4_t_cell,33966,31.895
sample02580,106494,cd8_t_cell,20365,19.123
sample02580,106494,monocyte,19745,18.541
sample02580,106494,nk_cell,15252,14.322
sample02581,103172,b_cell,13850,13.424
sample02581,103172,cd4_t_cell,32809,31.8
sample02581,103172,cd8_t_cell,30089,29.164
sample02581,103172,monocyte,16483,15.976
sample02581,103172,nk_cell,9941,9.635
sample02582,93364,b_cell,9678,10.366
sample02582,93364,cd4_t_cell,38745,41.499
sample02582,93364,cd8_t_cell,16411,17.577
sample02582,93364,monocyte,20998,22.49
sample02582,93364,nk_cell,7532,8.067
sample02583,98705,b_cell,10732,10.873
sample02583,98705,cd4_t_cell,38822,39.331
sample02583,98705,cd8_t_cell,23093,23.396
sample02583,98705,monocyte,14143,14.329
sample02583,98705,nk_cell,11915,12.071
sample02584,94002,b_cell,6627,7.05
sample02584,94002,cd4_t_cell,32664,34.748
sample02584,94002,cd8_t_cell,21585,22.962
sample02584,94002,monocyte,15662,16.661
sample02584,94002,nk_cell,17464,18.578
sample02585,99132,b_cell,7975,8.045
sample02585,99132,cd4_t_cell,32300,32.583
sample02585,99132,cd8_t_cell,27264,27.503
sample02585,99132,monocyte,19198,19.366
sample02585,99132,nk_cell,12395,12.504
sample02586,110607,b_cell,11851,10.715
sample02586,110607,cd4_t_cell,41587,37.599
sample02586,110607,cd8_t_cell,21616,19.543
sample02586,110607,monocyte,18486,16.713
sample02586,110607,nk_cell,17067,15.43
sample02587,96621,b_cell,11276,11.67
sample02587,96621,cd4_t_cell,29971,31.019
sample02587,96621,cd8_t_cell,29686,30.724
sample02587,96621,monocyte,14717,15.232
sample02587,96621,nk_cell,10971,11.355
sample02588,99688,b_cell,9707,9.737
sample02588,99688,cd4_t_cell,30730,30.826
sample02588,99688,cd8_t_cell,27113,27.198
sample02588,99688,monocyte,18940,18.999
sample02588,99688,nk_cell,13198,13.239
sample02589,104080,b_cell,7009,6.734
sample02589,104080,cd4_t_cell,25968,24.95
sample02589,104080,cd8_t_cell,27265,26.196
sample02589,104080,monocyte,20224,19.431
sample02589,104080,nk_cell,23614,22.688
sample02590,109595,b_cell,8724,7.96
sample02590,109595,cd4_t_cell,25182,22.977
sample02590,109595,cd8_t_cell,39141,35.714
sample02590,109595,monocyte,21395,19.522
sample02590,109595,nk_cell,15153,13.826
sample02591,104087,b_cell,9671,9.291
sample02591,104087,cd4_t_cell,40727,39.128
sample02591,104087,cd8_t_cell,21120,20.291
sample02591,104087,monocyte,13173,12.656
sample02591,104087,nk_cell,19396,18.634
sample02592,104251,b_cell,10629,10.196
sample02592,104251,cd4_t_cell,27473,26.353
sample02592,104251,cd8_t_cell,24794,23.783
sample02592,104251,monocyte,23331,22.38
sample02592,104251,nk_cell,18024,17.289
sample02593,103176,b_cell,10440,10.119
sample02593,103176,cd4_t_cell,24556,23.8
sample02593,103176,cd8_t_cell,37941,36.773
sample02593,103176,monocyte,21720,21.051
sample02593,103176,nk_cell,8519,8.257
sample02594,91047,b_cell,9332,10.25
sample02594,91047,cd4_t_cell,25988,28.543
sample02594,91047,cd8_t_cell,21324,23.421
sample02594,91047,monocyte,25182,27.658
sample02594,91047,nk_cell,9221,10.128
sample02595,104002,b_cell,6001,5.77
sample02595,104002,cd4_t_cell,38135,36.668
sample02595,104002,cd8_t_cell,17703,17.022
sample02595,104002,monocyte,16806,16.159
sample02595,104002,nk_cell,25357,24.381
sample02596,102588,b_cell,15159,14.777
sample02596,102588,cd4_t_cell,28674,27.951
sample02596,102588,cd8_t_cell,19124,18.642
sample02596,102588,monocyte,28023,27.316
sample02596,102588,nk_cell,11608,11.315
sample02597,100886,b_cell,11590,11.488
sample02597,100886,cd4_t_cell,24237,24.024
sample02597,100886,cd8_t_cell,26455,26.223
sample02597,100886,monocyte,24100,23.888
sample02597,100886,nk_cell,14504,14.377
sample02598,100350,b_cell,11285,11.246
sample02598,100350,cd4_t_cell,21185,21.111
sample02598,100350,cd8_t_cell,30377,30.271
sample02598,100350,monocyte,16895,16.836
sample02598,100350,nk_cell,20608,20.536
sample02599,111148,b_cell,19593,17.628
sample02599,111148,cd4_t_cell,32603,29.333
sample02599,111148,cd8_t_cell,25455,22.902
sample02599,111148,monocyte,21856,19.664
sample02599,111148,nk_cell,11641,10.473
sample02600,104013,b_cell,6367,6.121
sample02600,104013,cd4_t_cell,35229,33.87
sample02600,104013,cd8_t_cell,25788,24.793
sample02600,104013,monocyte,17826,17.138
sample02600,104013,nk_cell,18803,18.078
sample02601,106571,b_cell,11154,10.466
sample02601,106571,cd4_t_cell,22483,21.097
sample02601,106571,cd8_t_cell,27946,26.223
sample02601,106571,monocyte,23207,21.776
sample02601,106571,nk_cell,21781,20.438
sample02602,106844,b_cell,8687,8.131
sample02602,106844,cd4_t_cell,31933,29.887
sample02602,106844,cd8_t_cell,30216,28.28
sample02602,106844,monocyte,23141,21.659
sample02602,106844,nk_cell,12867,12.043
sample02603,96973,b_cell,14956,15.423
sample02603,96973,cd4_t_cell,25093,25.876
sample02603,96973,cd8_t_cell,22889,23.603
sample02603,96973,monocyte,19644,20.257
sample02603,96973,nk_cell,14391,14.84
sample02604,105905,b_cell,10313,9.738
sample02604,105905,cd4_t_cell,28479,26.891
sample02604,105905,cd8_t_cell,31137,29.401
sample02604,105905,monocyte,19545,18.455
sample02604,105905,nk_cell,16431,15.515
sample02605,96388,b_cell,12816,13.296
sample02605,96388,cd4_t_cell,30227,31.36
sample02605,96388,cd8_t_cell,14436,14.977
sample02605,96388,monocyte,27326,28.35
sample02605,96388,nk_cell,11583,12.017
sample02606,100777,b_cell,10762,10.679
sample02606,100777,cd4_t_cell,33294,33.037
sample02606,100777,cd8_t_cell,18941,18.795
sample02606,100777,monocyte,17392,17.258
sample02606,100777,nk_cell,20388,20.231
sample02607,92408,b_cell,11635,12.591
sample02607,92408,cd4_t_cell,30080,32.551
sample02607,92408,cd8_t_cell,20620,22.314
sample02607,92408,monocyte,14678,15.884
sample02607,92408,nk_cell,15395,16.66
sample02608,89356,b_cell,11300,12.646
sample02608,89356,cd4_t_cell,22344,25.006
sample02608,89356,cd8_t_cell,23826,26.664
sample02608,89356,monocyte,17457,19.536
sample02608,89356,nk_cell,14429,16.148
sample02609,91550,b_cell,10476,11.443
sample02609,91550,cd4_t_cell,17344,18.945
sample02609,91550,cd8_t_cell,27258,29.774
sample02609,91550,monocyte,20450,22.338
sample02609,91550,nk_cell,16022,17.501
sample02610,97712,b_cell,13390,13.704
sample02610,97712,cd4_t_cell,25455,26.051
sample02610,97712,cd8_t_cell,22426,22.951
sample02610,97712,monocyte,24754,25.334
sample02610,97712,nk_cell,11687,11.961
sample02611,95681,b_cell,9820,10.263
sample02611,95681,cd4_t_cell,24711,25.826
sample02611,95681,cd8_t_cell,26916,28.131
sample02611,95681,monocyte,19931,20.831
sample02611,95681,nk_cell,14303,14.949
sample02612,90352,b_cell,13360,14.787
sample02612,90352,cd4_t_cell,33892,37.511
sample02612,90352,cd8_t_cell,19594,21.686
sample02612,90352,monocyte,9755,10.797
sample02612,90352,nk_cell,13751,15.219
sample02613,107544,b_cell,10232,9.514
sample02613,107544,cd4_t_cell,30460,28.323
sample02613,107544,cd8_t_cell,23942,22.263
sample02613,107544,monocyte,28757,26.74
sample02613,107544,nk_cell,14153,13.16
sample02614,91965,b_cell,11044,12.009
sample02614,91965,cd4_t_cell,35392,38.484
sample02614,91965,cd8_t_cell,16303,17.727
sample02614,91965,monocyte,13997,15.22
sample02614,91965,nk_cell,15229,16.56
sample02615,106213,b_cell,14457,13.611
sample02615,106213,cd4_t_cell,24298,22.877
sample02615,106213,cd8_t_cell,27680,26.061
sample02615,106213,monocyte,24944,23.485
sample02615,106213,nk_cell,14834,13.966
sample02616,100513,b_cell,13124,13.057
sample02616,100513,cd4_t_cell,30286,30.131
sample02616,100513,cd8_t_cell,19181,19.083
sample02616,100513,monocyte,24614,24.488
sample02616,100513,nk_cell,13308,13.24
sample02617,99473,b_cell,8717,8.763
sample02617,99473,cd4_t_cell,28524,28.675
sample02617,99473,cd8_t_cell,27584,27.73
sample02617,99473,monocyte,19565,19.669
sample02617,99473,nk_cell,15083,15.163
sample02618,95861,b_cell,15206,15.863
sample02618,95861,cd4_t_cell,32186,33.576
sample02618,95861,cd8_t_cell,21915,22.861
sample02618,95861,monocyte,14690,15.324
sample02618,95861,nk_cell,11864,12.376
sample02619,100603,b_cell,8877,8.824
sample02619,100603,cd4_t_cell,27333,27.169
sample02619,100603,cd8_t_cell,27933,27.766
sample02619,100603,monocyte,23424,23.284
sample02619,100603,nk_cell,13036,12.958
sample02620,106958,b_cell,17903,16.738
sample02620,106958,cd4_t_cell,26640,24.907
sample02620,106958,cd8_t_cell,23460,21.934
sample02620,106958,monocyte,28113,26.284
sample02620,106958,nk_cell,10842,10.137
sample02621,101615,b_cell,11611,11.426
sample02621,101615,cd4_t_cell,23204,22.835
sample02621,101615,cd8_t_cell,29030,28.569
sample02621,101615,monocyte,22161,21.809
sample02621,101615,nk_cell,15609,15.361
sample02622,102897,b_cell,4876,4.739
sample02622,102897,cd4_t_cell,33379,32.439
sample02622,102897,cd8_t_cell,26885,26.128
sample02622,102897,monocyte,24858,24.158
sample02622,102897,nk_cell,12899,12.536
sample02623,99293,b_cell,9428,9.495
sample02623,99293,cd4_t_cell,29727,29.939
sample02623,99293,cd8_t_cell,29387,29.596
sample02623,99293,monocyte,19350,19.488
sample02623,99293,nk_cell,11401,11.482
sample02624,90421,b_cell,8450,9.345
sample02624,90421,cd4_t_cell,32372,35.801
sample02624,90421,cd8_t_cell,19158,21.188
sample02624,90421,monocyte,20363,22.52
sample02624,90421,nk_cell,10078,11.146
sample02625,102515,b_cell,8990,8.769
sample02625,102515,cd4_t_cell,43415,42.35
sample02625,102515,cd8_t_cell,20463,19.961
sample02625,102515,monocyte,19563,19.083
sample02625,102515,nk_cell,10084,9.837
sample02626,111950,b_cell,10714,9.57
sample02626,111950,cd4_t_cell,27418,24.491
sample02626,111950,cd8_t_cell,25753,23.004
sample02626,111950,monocyte,24544,21.924
sample02626,111950,nk_cell,23521,21.01
sample02627,103558,b_cell,7286,7.036
sample02627,103558,cd4_t_cell,27222,26.287
sample02627,103558,cd8_t_cell,20963,20.243
sample02627,103558,monocyte,24513,23.671
sample02627,103558,nk_cell,23574,22.764
sample02628,110821,b_cell,15438,13.931
sample02628,110821,cd4_t_cell,32938,29.722
sample02628,110821,cd8_t_cell,27812,25.096
sample02628,110821,monocyte,24400,22.017
sample02628,110821,nk_cell,10233,9.234
sample02629,107926,b_cell,7461,6.913
sample02629,107926,cd4_t_cell,33991,31.495
sample02629,107926,cd8_t_cell,25501,23.628
sample02629,107926,monocyte,27610,25.582
sample02629,107926,nk_cell,13363,12.382
sample02630,106216,b_cell,9305,8.76
sample02630,106216,cd4_t_cell,23420,22.049
sample02630,106216,cd8_t_cell,32723,30.808
sample02630,106216,monocyte,25354,23.87
sample02630,106216,nk_cell,15414,14.512
sample02631,104719,b_cell,13918,13.291
sample02631,104719,cd4_t_cell,34289,32.744
sample02631,104719,cd8_t_cell,24120,23.033
sample02631,104719,monocyte,15808,15.096
sample02631,104719,nk_cell,16584,15.837
sample02632,91550,b_cell,9403,10.271
sample02632,91550,cd4_t_cell,24307,26.551
sample02632,91550,cd8_t_cell,26077,28.484
sample02632,91550,monocyte,21756,23.764
sample02632,91550,nk_cell,10007,10.931
sample02633,93787,b_cell,9997,10.659
sample02633,93787,cd4_t_cell,33519,35.739
sample02633,93787,cd8_t_cell,24783,26.425
sample02633,93787,monocyte,14551,15.515
sample02633,93787,nk_cell,10937,11.662
sample02634,105922,b_cell,9908,9.354
sample02634,105922,cd4_t_cell,34619,32.683
sample02634,105922,cd8_t_cell,21596,20.389
sample02634,105922,monocyte,23285,21.983
sample02634,105922,nk_cell,16514,15.591
sample02635,97272,b_cell,13307,13.68
sample02635,97272,cd4_t_cell,40564,41.702
sample02635,97272,cd8_t_cell,17423,17.912
sample02635,97272,monocyte,16167,16.62
sample02635,97272,nk_cell,9811,10.086
sample02636,106684,b_cell,8272,7.754
sample02636,106684,cd4_t_cell,35552,33.325
sample02636,106684,cd8_t_cell,26255,24.61
sample02636,106684,monocyte,20177,18.913
sample02636,106684,nk_cell,16428,15.399
sample02637,106144,b_cell,9472,8.924
sample02637,106144,cd4_t_cell,28326,26.686
sample02637,106144,cd8_t_cell,35416,33.366
sample02637,106144,monocyte,20117,18.953
sample02637,106144,nk_cell,12813,12.071
sample02638,101086,b_cell,11623,11.498
sample02638,101086,cd4_t_cell,30274,29.949
sample02638,101086,cd8_t_cell,24977,24.709
sample02638,101086,monocyte,25018,24.749
sample02638,101086,nk_cell,9194,9.095
sample02639,102754,b_cell,8910,8.671
sample02639,102754,cd4_t_cell,26343,25.637
sample02639,102754,cd8_t_cell,33190,32.3
sample02639,102754,monocyte,19293,18.776
sample02639,102754,nk_cell,15018,14.615
sample02640,104000,b_cell,6286,6.044
sample02640,104000,cd4_t_cell,40139,38.595
sample02640,104000,cd8_t_cell,15277,14.689
sample02640,104000,monocyte,18535,17.822
sample02640,104000,nk_cell,23763,22.849
sample02641,110166,b_cell,7159,6.498
sample02641,110166,cd4_t_cell,35897,32.584
sample02641,110166,cd8_t_cell,30969,28.111
sample02641,110166,monocyte,25826,23.443
sample02641,110166,nk_cell,10315,9.363
sample02642,92204,b_cell,7394,8.019
sample02642,92204,cd4_t_cell,32924,35.708
sample02642,92204,cd8_t_cell,20237,21.948
sample02642,92204,monocyte,18895,20.493
sample02642,92204,nk_cell,12754,13.832
sample02643,96771,b_cell,11838,12.233
sample02643,96771,cd4_t_cell,28453,29.402
sample02643,96771,cd8_t_cell,21969,22.702
sample02643,96771,monocyte,20926,21.624
sample02643,96771,nk_cell,13585,14.038
sample02644,92828,b_cell,10266,11.059
sample02644,92828,cd4_t_cell,22111,23.819
sample02644,92828,cd8_t_cell,20469,22.05
sample02644,92828,monocyte,23412,25.221
sample02644,92828,nk_cell,16570,17.85
sample02645,107775,b_cell,12073,11.202
sample02645,107775,cd4_t_cell,37449,34.747
sample02645,107775,cd8_t_cell,26084,24.202
sample02645,107775,monocyte,19721,18.298
sample02645,107775,nk_cell,12448,11.55
sample02646,95983,b_cell,11008,11.469
sample02646,95983,cd4_t_cell,22089,23.013
sample02646,95983,cd8_t_cell,24194,25.207
sample02646,95983,monocyte,19758,20.585
sample02646,95983,nk_cell,18934,19.726
sample02647,96996,b_cell,10388,10.71
sample02647,96996,cd4_t_cell,35568,36.67
sample02647,96996,cd8_t_cell,19562,20.168
sample02647,96996,monocyte,18732,19.312
sample02647,96996,nk_cell,12746,13.141
sample02648,95230,b_cell,9903,10.399
sample02648,95230,cd4_t_cell,25558,26.838
sample02648,95230,cd8_t_cell,28866,30.312
sample02648,95230,monocyte,21832,22.926
sample02648,95230,nk_cell,9071,9.525
sample02649,93467,b_cell,10826,11.583
sample02649,93467,cd4_t_cell,33890,36.259
sample02649,93467,cd8_t_cell,18238,19.513
sample02649,93467,monocyte,18726,20.035
sample02649,93467,nk_cell,11787,12.611
sample02650,97786,b_cell,11921,12.191
sample02650,97786,cd4_t_cell,30781,31.478
sample02650,97786,cd8_t_cell,26322,26.918
sample02650,97786,monocyte,17251,17.642
sample02650,97786,nk_cell,11511,11.772
sample02651,105206,b_cell,13158,12.507
sample02651,105206,cd4_t_cell,36375,34.575
sample02651,105206,cd8_t_cell,27372,26.018
sample02651,105206,monocyte,16976,16.136
sample02651,105206,nk_cell,11325,10.765
sample02652,91738,b_cell,10297,11.224
sample02652,91738,cd4_t_cell,28092,30.622
sample02652,91738,cd8_t_cell,22437,24.458
sample02652,91738,monocyte,18588,20.262
sample02652,91738,nk_cell,12324,13.434
sample02653,91614,b_cell,6379,6.963
sample02653,91614,cd4_t_cell,28866,31.508
sample02653,91614,cd8_t_cell,18594,20.296
sample02653,91614,monocyte,19924,21.748
sample02653,91614,nk_cell,17851,19.485
sample02654,105515,b_cell,11285,10.695
sample02654,105515,cd4_t_cell,32580,30.877
sample02654,105515,cd8_t_cell,26406,25.026
sample02654,105515,monocyte,17826,16.894
sample02654,105515,nk_cell,17418,16.508
sample02655,105004,b_cell,6042,5.754
sample02655,105004,cd4_t_cell,31614,30.107
sample02655,105004,cd8_t_cell,30235,28.794
sample02655,105004,monocyte,21181,20.172
sample02655,105004,nk_cell,15932,15.173
sample02656,102647,b_cell,9059,8.825
sample02656,102647,cd4_t_cell,32149,31.32
sample02656,102647,cd8_t_cell,25860,25.193
sample02656,102647,monocyte,18421,17.946
sample02656,102647,nk_cell,17158,16.716
sample02657,107830,b_cell,13034,12.088
sample02657,107830,cd4_t_cell,25433,23.586
sample02657,107830,cd8_t_cell,27887,25.862
sample02657,107830,monocyte,26862,24.911
sample02657,107830,nk_cell,14614,13.553
sample02658,93976,b_cell,8555,9.103
sample02658,93976,cd4_t_cell,32464,34.545
sample02658,93976,cd8_t_cell,24248,25.802
sample02658,93976,monocyte,16660,17.728
sample02658,93976,nk_cell,12049,12.821
sample02659,95494,b_cell,10864,11.377
sample02659,95494,cd4_t_cell,25361,26.558
sample02659,95494,cd8_t_cell,31823,33.325
sample02659,95494,monocyte,13720,14.367
sample02659,95494,nk_cell,13726,14.374
sample02660,90694,b_cell,12050,13.286
sample02660,90694,cd4_t_cell,25862,28.516
sample02660,90694,cd8_t_cell,16556,18.255
sample02660,90694,monocyte,22234,24.515
sample02660,90694,nk_cell,13992,15.428
sample02661,100085,b_cell,11369,11.359
sample02661,100085,cd4_t_cell,28805,28.781
sample02661,100085,cd8_t_cell,24023,24.003
sample02661,100085,monocyte,18170,18.155
sample02661,100085,nk_cell,17718,17.703
sample02662,91765,b_cell,7064,7.698
sample02662,91765,cd4_t_cell,28863,31.453
sample02662,91765,cd8_t_cell,25313,27.585
sample02662,91765,monocyte,20373,22.201
sample02662,91765,nk_cell,10152,11.063
sample02663,91496,b_cell,12954,14.158
sample02663,91496,cd4_t_cell,33913,37.065
sample02663,91496,cd8_t_cell,14523,15.873
sample02663,91496,monocyte,18086,19.767
sample02663,91496,nk_cell,12020,13.137
sample02664,102240,b_cell,7201,7.043
sample02664,102240,cd4_t_cell,31050,30.37
sample02664,102240,cd8_t_cell,31384,30.696
sample02664,102240,monocyte,18820,18.408
sample02664,102240,nk_cell,13785,13.483
sample02665,92723,b_cell,9832,10.604
sample02665,92723,cd4_t_cell,29318,31.619
sample02665,92723,cd8_t_cell,16995,18.329
sample02665,92723,monocyte,20593,22.209
sample02665,92723,nk_cell,15985,17.24
sample02666,100607,b_cell,6660,6.62
sample02666,100607,cd4_t_cell,23672,23.529
sample02666,100607,cd8_t_cell,27114,26.95
sample02666,100607,monocyte,23076,22.937
sample02666,100607,nk_cell,20085,19.964
sample02667,90006,b_cell,12877,14.307
sample02667,90006,cd4_t_cell,25090,27.876
sample02667,90006,cd8_t_cell,22358,24.841
sample02667,90006,monocyte,19361,21.511
sample02667,90006,nk_cell,10320,11.466
sample02668,90039,b_cell,9548,10.604
sample02668,90039,cd4_t_cell,29889,33.196
sample02668,90039,cd8_t_cell,19393,21.538
sample02668,90039,monocyte,17884,19.863
sample02668,90039,nk_cell,13325,14.799
sample02669,108133,b_cell,7314,6.764
sample02669,108133,cd4_t_cell,26961,24.933
sample02669,108133,cd8_t_cell,24659,22.804
sample02669,108133,monocyte,26750,24.738
sample02669,108133,nk_cell,22449,20.761
sample02670,108035,b_cell,12990,12.024
sample02670,108035,cd4_t_cell,26896,24.896
sample02670,108035,cd8_t_cell,26878,24.879
sample02670,108035,monocyte,18836,17.435
sample02670,108035,nk_cell,22435,20.766
sample02671,99157,b_cell,9920,10.004
sample02671,99157,cd4_t_cell,29232,29.481
sample02671,99157,cd8_t_cell,29665,29.917
sample02671,99157,monocyte,14502,14.625
sample02671,99157,nk_cell,15838,15.973
sample02672,89866,b_cell,6065,6.749
sample02672,89866,cd4_t_cell,32399,36.053
sample02672,89866,cd8_t_cell,22983,25.575
sample02672,89866,monocyte,12328,13.718
sample02672,89866,nk_cell,16091,17.906
sample02673,95603,b_cell,8093,8.465
sample02673,95603,cd4_t_cell,29525,30.883
sample02673,95603,cd8_t_cell,20931,21.894
sample02673,95603,monocyte,24014,25.118
sample02673,95603,nk_cell,13040,13.64
sample02674,105240,b_cell,9561,9.085
sample02674,105240,cd4_t_cell,30492,28.974
sample02674,105240,cd8_t_cell,20755,19.722
sample02674,105240,monocyte,19683,18.703
sample02674,105240,nk_cell,24749,23.517
sample02675,109520,b_cell,7286,6.653
sample02675,109520,cd4_t_cell,25213,23.021
sample02675,109520,cd8_t_cell,30589,27.93
sample02675,109520,monocyte,30784,28.108
sample02675,109520,nk_cell,15648,14.288
sample02676,96872,b_cell,7971,8.228
sample02676,96872,cd4_t_cell,32782,33.841
sample02676,96872,cd8_t_cell,23845,24.615
sample02676,96872,monocyte,17712,18.284
sample02676,96872,nk_cell,14562,15.032
sample02677,103837,b_cell,16302,15.7
sample02677,103837,cd4_t_cell,22235,21.413
sample02677,103837,cd8_t_cell,31251,30.096
sample02677,103837,monocyte,19024,18.321
sample02677,103837,nk_cell,15025,14.47
sample02678,104340,b_cell,12342,11.829
sample02678,104340,cd4_t_cell,30781,29.501
sample02678,104340,cd8_t_cell,29184,27.97
sample02678,104340,monocyte,19058,18.265
sample02678,104340,nk_cell,12975,12.435
sample02679,96980,b_cell,10212,10.53
sample02679,96980,cd4_t_cell,24992,25.77
sample02679,96980,cd8_t_cell,26629,27.458
sample02679,96980,monocyte,21972,22.656
sample02679,96980,nk_cell,13175,13.585
sample02680,94452,b_cell,8197,8.678
sample02680,94452,cd4_t_cell,24732,26.185
sample02680,94452,cd8_t_cell,22442,23.76
sample02680,94452,monocyte,20605,21.815
sample02680,94452,nk_cell,18476,19.561
sample02681,97566,b_cell,8041,8.242
sample02681,97566,cd4_t_cell,26198,26.852
sample02681,97566,cd8_t_cell,21960,22.508
sample02681,97566,monocyte,23467,24.052
sample02681,97566,nk_cell,17900,18.347
sample02682,98716,b_cell,6885,6.975
sample02682,98716,cd4_t_cell,32336,32.757
sample02682,98716,cd8_t_cell,13829,14.009
sample02682,98716,monocyte,21789,22.072
sample02682,98716,nk_cell,23877,24.188
sample02683,96098,b_cell,9505,9.891
sample02683,96098,cd4_t_cell,27788,28.916
sample02683,96098,cd8_t_cell,23231,24.174
sample02683,96098,monocyte,24898,25.909
sample02683,96098,nk_cell,10676,11.109
sample02684,107673,b_cell,9972,9.261
sample02684,107673,cd4_t_cell,27284,25.34
sample02684,107673,cd8_t_cell,31679,29.421
sample02684,107673,monocyte,20057,18.628
sample02684,107673,nk_cell,18681,17.35
sample02685,94738,b_cell,8050,8.497
sample02685,94738,cd4_t_cell,26225,27.682
sample02685,94738,cd8_t_cell,19916,21.022
sample02685,94738,monocyte,16598,17.52
sample02685,94738,nk_cell,23949,25.279
sample02686,108758,b_cell,9551,8.782
sample02686,108758,cd4_t_cell,37352,34.344
sample02686,108758,cd8_t_cell,26228,24.116
sample02686,108758,monocyte,18046,16.593
sample02686,108758,nk_cell,17581,16.165
sample02687,97712,b_cell,11176,11.438
sample02687,97712,cd4_t_cell,30021,30.724
sample02687,97712,cd8_t_cell,22843,23.378
sample02687,97712,monocyte,17610,18.022
sample02687,97712,nk_cell,16062,16.438
sample02688,96292,b_cell,8440,8.765
sample02688,96292,cd4_t_cell,31477,32.689
sample02688,96292,cd8_t_cell,32826,34.09
sample02688,96292,monocyte,13773,14.303
sample02688,96292,nk_cell,9776,10.152
sample02689,97453,b_cell,14545,14.925
sample02689,97453,cd4_t_cell,24573,25.215
sample02689,97453,cd8_t_cell,24283,24.918
sample02689,97453,monocyte,22432,23.018
sample02689,97453,nk_cell,11620,11.924
sample02690,91000,b_cell,12255,13.467
sample02690,91000,cd4_t_cell,25306,27.809
sample02690,91000,cd8_t_cell,22839,25.098
sample02690,91000,monocyte,18468,20.295
sample02690,91000,nk_cell,12132,13.332
sample02691,97733,b_cell,8448,8.644
sample02691,97733,cd4_t_cell,30816,31.531
sample02691,97733,cd8_t_cell,23666,24.215
sample02691,97733,monocyte,23108,23.644
sample02691,97733,nk_cell,11695,11.966
sample02692,97607,b_cell,8019,8.216
sample02692,97607,cd4_t_cell,33321,34.138
sample02692,97607,cd8_t_cell,20176,20.671
sample02692,97607,monocyte,18574,19.029
sample02692,97607,nk_cell,17517,17.946
sample02693,108389,b_cell,10482,9.671
sample02693,108389,cd4_t_cell,36153,33.355
sample02693,108389,cd8_t_cell,27590,25.455
sample02693,108389,monocyte,20860,19.245
sample02693,108389,nk_cell,13304,12.274
sample02694,103861,b_cell,12680,12.209
sample02694,103861,cd4_t_cell,30815,29.669
sample02694,103861,cd8_t_cell,22753,21.907
sample02694,103861,monocyte,21978,21.161
sample02694,103861,nk_cell,15635,15.054
sample02695,93761,b_cell,6569,7.006
sample02695,93761,cd4_t_cell,28013,29.877
sample02695,93761,cd8_t_cell,27623,29.461
sample02695,93761,monocyte,20487,21.85
sample02695,93761,nk_cell,11069,11.806
sample02696,102799,b_cell,8446,8.216
sample02696,102799,cd4_t_cell,30207,29.385
sample02696,102799,cd8_t_cell,27091,26.353
sample02696,102799,monocyte,20595,20.034
sample02696,102799,nk_cell,16460,16.012
sample02697,105910,b_cell,11855,11.193
sample02697,105910,cd4_t_cell,30882,29.159
sample02697,105910,cd8_t_cell,21552,20.349
sample02697,105910,monocyte,26164,24.704
sample02697,105910,nk_cell,15457,14.594
sample02698,105793,b_cell,3954,3.737
sample02698,105793,cd4_t_cell,30080,28.433
sample02698,105793,cd8_t_cell,30407,28.742
sample02698,105793,monocyte,29709,28.082
sample02698,105793,nk_cell,11643,11.005
sample02699,111534,b_cell,12080,10.831
sample02699,111534,cd4_t_cell,31722,28.442
sample02699,111534,cd8_t_cell,22658,20.315
sample02699,111534,monocyte,22534,20.204
sample02699,111534,nk_cell,22540,20.209
sample02700,103298,b_cell,10080,9.758
sample02700,103298,cd4_t_cell,37751,36.546
sample02700,103298,cd8_t_cell,23553,22.801
sample02700,103298,monocyte,14891,14.416
sample02700,103298,nk_cell,17023,16.48
sample02701,108275,b_cell,9069,8.376
